term,polarity
bon,positive
mauvais,negative
excellent,positive
terrible,negative
bien,positive
mal,negative
positif,positive
négatif,negative
agréable,positive
désagréable,negative
satisfaisant,positive
insatisfaisant,negative
bénéfique,positive
néfaste,negative
favorable,positive
défavorable,negative
avantage,positive
inconvénient,negative
réussite,positive
échec,negative
opportunité,positive
menace,negative
amélioration,positive
détérioration,negative
solution,positive
problème,negative
progrès,positive
recul,negative
efficace,positive
inefficace,negative
utile,positive
inutile,negative
durable,positive
polluant,negative
propre,positive
sale,negative
sain,positive
malsain,negative
économique,positive
coûteux,negative
rentable,positive
déficitaire,negative
fiable,positive
peu fiable,negative
écologique,positive
nuisible,negative
innovant,positive
désuet,negative
responsable,positive
irresponsable,negative
sûr,positive
dangereux,negative
optimiste,positive
pessimiste,negative
confiant,positive
inquiet,negative
encourageant,positive
décourageant,negative
prospère,positive
précaire,negative
abondant,positive
rare,negative
valorisant,positive
dévalorisant,negative
performant,positive
médiocre,negative
réjouissant,positive
alarmant,negative
admirablе,positive
déplorable,negative
idéal,positive
catastrophique,negative
