term1,term2
augmenter,diminuer
accroître,réduire
améliorer,détériorer
optimiste,pessimiste
avantage,inconvénient
rapide,lent
court,long
petit,grand
progrès,recul
opportunité,menace
positif,négatif
bénéfique,néfaste
début,fin
nouveau,ancien
moderne,traditionnel
avenir,passé
futur,présent
progressif,conservateur
riche,pauvre
abondant,rare
excès,pénurie
croissance,décroissance
centralisation,décentralisation
global,local
mondial,national
intérieur,extérieur
naturel,artificiel
environnement,économie
écologie,industrie
protection,exploitation
préservation,consommation
public,privé
collectif,individuel
commun,personnel
collaboration,compétition
solidarité,individualisme
contrainte,liberté
obligation,choix
nécessaire,superflu
urgent,secondaire
immédiat,différé
présent,futur
actuel,potentiel
concret,abstrait
tangible,intangible
visible,invisible
explicite,implicite
clair,ambigu
certain,incertain
prévisible,imprévisible
stable,instable
permanent,temporaire
durable,éphémère
solide,fragile
fort,faible
puissant,vulnérable
résistant,sensible
offre,demande
